ticker,time,open,high,low,close,volume
PNJ,2025-07-17,86.08,87.07,84.9,84.9,962026
PNJ,2025-07-18,84.8,85.89,84.61,84.8,472401
PNJ,2025-07-21,84.8,85.1,83.62,83.62,462773
PNJ,2025-07-22,83.62,84.61,82.74,84.51,480117
PNJ,2025-07-23,84.51,84.71,84.02,84.61,383784
PNJ,2025-07-24,84.61,84.9,83.72,84.61,562349
PNJ,2025-07-25,84.61,85.3,84.61,85.0,491659
PNJ,2025-07-28,85.0,85.1,84.51,84.61,693139
PNJ,2025-07-29,84.71,84.8,82.93,82.93,1560400
PNJ,2025-07-30,82.84,84.11,82.44,84.11,722347
PNJ,2025-07-31,83.23,83.92,82.44,83.03,542797
PNJ,2025-08-01,82.93,88.84,82.25,88.84,1140352
PNJ,2025-08-04,84.61,85.49,82.64,85.1,777310
PNJ,2025-08-05,85.0,85.2,84.11,84.11,1008389
PNJ,2025-08-06,84.11,85.2,84.11,84.9,447835
PNJ,2025-08-07,85.1,86.48,84.8,85.0,553503
PNJ,2025-08-08,85.59,85.59,84.31,84.41,754683
PNJ,2025-08-11,84.9,85.59,84.61,85.1,520386
PNJ,2025-08-12,85.1,86.08,85.1,86.08,780656
PNJ,2025-08-13,86.08,87.66,85.49,86.57,1129320
PNJ,2025-08-14,86.57,86.77,85.0,86.57,790897
PNJ,2025-08-15,86.57,86.57,84.61,84.8,810880
PNJ,2025-08-18,84.8,84.9,83.03,83.62,1045367
PNJ,2025-08-19,83.62,83.92,83.23,83.52,681571
PNJ,2025-08-20,83.72,84.21,83.13,83.92,966439
PNJ,2025-08-21,83.92,84.31,83.23,84.21,671996
PNJ,2025-08-22,84.61,84.61,82.93,83.43,879630
PNJ,2025-08-25,83.52,84.11,82.15,82.15,535378
PNJ,2025-08-26,81.56,83.03,81.56,82.84,384361
PNJ,2025-08-27,85.49,85.49,83.52,83.92,1318229
PNJ,2025-08-28,83.92,84.61,83.72,84.21,689632
PNJ,2025-08-29,84.21,84.51,84.02,84.21,679011
PNJ,2025-09-03,84.21,85.2,83.72,84.9,660776
PNJ,2025-09-04,85.39,87.95,84.9,86.97,1619507
PNJ,2025-09-05,87.16,87.16,85.79,85.79,622821
PNJ,2025-09-08,85.1,85.79,83.43,83.43,751783
PNJ,2025-09-09,84.21,84.41,83.13,84.31,433439
PNJ,2025-09-10,84.31,85.1,83.72,84.8,357613
PNJ,2025-09-11,85.1,85.1,83.82,84.8,459304
PNJ,2025-09-12,85.1,87.26,84.71,86.57,769905
PNJ,2025-09-15,86.57,86.77,85.89,86.77,486866
PNJ,2025-09-16,86.77,88.44,86.48,87.26,682553
PNJ,2025-09-17,87.26,89.03,85.69,85.69,620335
PNJ,2025-09-18,86.57,87.75,86.08,86.67,428530
PNJ,2025-09-19,87.56,87.56,86.48,87.07,438862
PNJ,2025-09-22,87.56,88.25,85.59,86.48,466532
PNJ,2025-09-23,86.38,86.57,84.8,86.48,347248
PNJ,2025-09-24,86.48,86.48,85.1,86.18,169622
PNJ,2025-09-25,86.28,86.38,84.8,84.8,768022
PNJ,2025-09-26,85.5,85.9,84.5,84.7,450415
PNJ,2025-09-29,85.0,85.0,83.4,83.5,287998
PNJ,2025-09-30,83.5,84.4,83.1,83.1,269444
PNJ,2025-10-01,83.4,84.0,83.4,83.4,471736
PNJ,2025-10-02,83.4,83.6,83.1,83.1,386252
PNJ,2025-10-03,83.0,83.6,83.0,83.0,229173
PNJ,2025-10-06,83.0,84.6,83.0,84.2,228674
PNJ,2025-10-07,84.3,85.3,84.3,84.9,233566
PNJ,2025-10-08,86.0,86.0,84.0,84.0,354890
PNJ,2025-10-09,84.2,85.5,84.1,85.0,379600
PNJ,2025-10-10,85.6,85.8,84.5,85.0,478400
PNJ,2025-10-13,84.8,85.3,84.1,84.9,189600
PNJ,2025-10-14,85.5,85.6,84.7,84.7,617400
PNJ,2025-10-15,84.5,86.8,84.5,86.1,997700
PNJ,2025-10-16,86.2,92.1,86.2,92.1,2980200
PNJ,2025-10-17,92.0,92.1,89.1,90.1,1440500
PNJ,2025-10-20,90.1,90.1,83.9,83.9,2295500
PNJ,2025-10-21,84.0,87.5,83.8,86.9,1027500
PNJ,2025-10-22,88.2,88.2,85.7,87.7,624100
PNJ,2025-10-23,87.3,93.0,87.3,92.3,2073400
PNJ,2025-10-24,92.0,95.7,90.0,95.0,1714300
PNJ,2025-10-27,94.9,95.0,93.5,93.5,810700
PNJ,2025-10-28,93.5,95.0,91.8,94.9,849400
PNJ,2025-10-29,94.9,95.6,91.8,95.5,1134200
PNJ,2025-10-30,95.5,96.2,94.0,94.6,544100
PNJ,2025-10-31,94.6,94.6,92.2,94.6,1203300
PNJ,2025-11-03,94.0,94.6,92.9,92.9,503500
PNJ,2025-11-04,92.8,92.8,88.0,90.0,1015200
PNJ,2025-11-05,90.2,91.4,90.0,91.4,297100
PNJ,2025-11-06,91.2,91.3,89.5,90.0,318400
PNJ,2025-11-07,90.5,90.9,87.5,87.5,419200
PNJ,2025-11-10,87.5,88.8,87.0,87.0,229700
PNJ,2025-11-11,87.6,89.1,86.9,89.1,398000
PNJ,2025-11-12,89.1,89.7,88.2,89.4,158600
PNJ,2025-11-13,89.2,91.3,88.9,90.3,528400
PNJ,2025-11-14,90.1,90.5,89.2,90.0,220700
