ticker,time,open,high,low,close,volume
PDR,2025-10-13,23.2,25.0,23.1,24.65,34968500
PDR,2025-10-14,25.0,25.4,24.55,24.9,36678900
PDR,2025-10-15,24.95,25.85,24.7,25.5,26573600
PDR,2025-10-16,25.9,27.0,25.85,26.3,29421600
PDR,2025-10-17,26.3,26.6,25.8,26.0,27361500
PDR,2025-10-20,25.6,26.5,24.2,24.2,34251300
PDR,2025-10-21,24.2,24.2,22.9,23.3,36773600
PDR,2025-10-22,23.6,24.25,22.9,24.25,23079200
PDR,2025-10-23,24.35,24.65,23.6,23.6,11804300
PDR,2025-10-24,23.5,24.25,23.15,23.65,15560600
PDR,2025-10-27,23.8,23.95,22.05,22.05,19980800
PDR,2025-10-28,21.9,23.0,20.7,23.0,24953400
PDR,2025-10-29,23.3,23.4,22.85,23.0,8809800
PDR,2025-10-30,23.0,23.5,22.85,23.4,10397300
PDR,2025-10-31,23.35,23.4,22.55,22.55,8993600
PDR,2025-11-03,22.6,22.65,21.0,21.4,15349900
PDR,2025-11-04,21.05,22.85,20.5,22.85,17560800
PDR,2025-11-05,22.7,22.7,21.85,22.45,8361500
PDR,2025-11-06,22.4,22.5,21.85,22.0,7487300
PDR,2025-11-07,22.0,22.0,20.85,21.15,10279700
PDR,2025-11-10,20.85,21.4,20.7,20.8,7539800
PDR,2025-11-11,21.0,21.2,20.5,21.2,7228400
PDR,2025-11-12,21.2,22.2,21.1,22.2,9427000
PDR,2025-11-13,22.1,22.1,21.65,22.0,5694500
PDR,2025-11-14,21.75,22.5,21.75,22.2,7091000
