ticker,time,open,high,low,close,volume
FOX,2025-07-24,72.4,76.1,71.6,75.0,377200
FOX,2025-07-25,74.8,75.9,71.8,73.0,233600
FOX,2025-07-28,73.5,75.2,73.3,73.9,271400
FOX,2025-07-29,73.9,74.9,71.0,71.5,330900
FOX,2025-07-30,72.9,74.5,71.9,72.9,180900
FOX,2025-07-31,73.0,73.2,71.3,71.9,154500
FOX,2025-08-01,70.8,72.4,70.2,72.1,98600
FOX,2025-08-04,71.9,73.0,71.4,72.0,95700
FOX,2025-08-05,72.5,72.5,71.4,71.8,143000
FOX,2025-08-06,72.0,72.5,71.5,72.5,127200
FOX,2025-08-07,72.5,74.9,72.5,74.5,257300
FOX,2025-08-08,74.5,74.6,73.0,73.6,93700
FOX,2025-08-11,73.9,74.5,73.4,74.4,248300
FOX,2025-08-12,69.0,74.5,69.0,73.1,348000
FOX,2025-08-13,74.0,74.1,72.4,72.7,201100
FOX,2025-08-14,72.6,73.5,71.6,72.0,238800
FOX,2025-08-15,72.0,72.5,69.5,69.7,253800
FOX,2025-08-18,70.0,70.3,67.9,68.3,250400
FOX,2025-08-19,68.1,68.5,67.8,68.0,164100
FOX,2025-08-20,68.1,68.1,65.5,66.5,246700
FOX,2025-08-21,66.5,68.5,65.7,68.3,225900
FOX,2025-08-22,69.0,69.0,66.7,67.1,157200
FOX,2025-08-25,68.0,70.3,66.0,66.5,79300
FOX,2025-08-26,67.0,67.9,66.0,67.8,107200
FOX,2025-08-27,67.5,69.0,66.6,67.3,163300
FOX,2025-08-28,67.5,68.0,65.0,67.1,128800
FOX,2025-08-29,66.1,67.1,65.5,67.0,97600
FOX,2025-09-03,66.8,67.5,66.3,67.5,77300
FOX,2025-09-04,68.0,68.0,67.0,67.2,52700
FOX,2025-09-05,66.9,67.4,66.7,66.8,87300
FOX,2025-09-08,66.8,66.8,65.9,66.1,80000
FOX,2025-09-09,66.2,66.5,65.9,66.5,64600
FOX,2025-09-10,66.9,66.9,66.1,66.4,22900
FOX,2025-09-11,66.0,66.8,65.7,66.5,82400
FOX,2025-09-12,66.5,66.5,65.8,66.3,45700
FOX,2025-09-15,66.2,67.3,66.2,67.0,78300
FOX,2025-09-16,67.5,67.6,66.9,67.3,90800
FOX,2025-09-17,67.5,69.5,67.5,69.0,240300
FOX,2025-09-18,69.0,69.0,68.1,68.8,76500
FOX,2025-09-19,68.6,69.6,67.2,67.9,87800
FOX,2025-09-22,68.4,68.4,66.0,66.1,70700
FOX,2025-09-23,66.6,67.2,65.7,65.9,56500
FOX,2025-09-24,66.4,66.7,65.1,66.5,48500
FOX,2025-09-25,67.0,67.0,64.5,64.8,142000
FOX,2025-09-26,65.1,65.4,64.0,64.4,52600
FOX,2025-09-29,63.0,65.1,54.9,64.5,55000
FOX,2025-09-30,64.5,65.0,64.0,64.1,68600
FOX,2025-10-01,65.0,65.0,63.9,64.5,32500
FOX,2025-10-02,65.0,65.0,64.0,64.0,14400
FOX,2025-10-03,64.1,64.1,63.8,64.0,25400
FOX,2025-10-06,64.8,65.0,64.1,64.9,43300
FOX,2025-10-07,64.9,64.9,64.0,64.3,21900
FOX,2025-10-08,64.3,65.3,64.2,64.7,36600
FOX,2025-10-09,64.8,65.6,64.0,64.0,71200
FOX,2025-10-10,64.4,65.0,64.1,64.4,63900
FOX,2025-10-13,63.8,64.4,63.7,64.2,55400
FOX,2025-10-14,64.0,64.0,61.0,61.0,215000
FOX,2025-10-15,62.5,62.5,61.0,61.5,129900
FOX,2025-10-16,61.6,61.6,60.8,61.4,54500
FOX,2025-10-17,61.9,62.6,61.0,61.0,19800
FOX,2025-10-20,61.7,63.8,60.6,61.3,75000
FOX,2025-10-21,61.3,65.0,60.8,64.0,193400
FOX,2025-10-22,64.0,65.8,64.0,64.8,56300
FOX,2025-10-23,64.8,64.8,63.3,63.9,42500
FOX,2025-10-24,64.2,64.6,63.6,64.2,39500
FOX,2025-10-27,64.2,65.1,64.1,64.1,91700
FOX,2025-10-28,64.6,66.2,64.0,65.0,109500
FOX,2025-10-29,66.0,69.0,66.0,67.5,390700
FOX,2025-10-30,67.1,68.1,67.0,67.8,64000
FOX,2025-10-31,67.6,68.1,64.0,64.2,217300
FOX,2025-11-03,65.3,65.7,64.0,64.0,89200
FOX,2025-11-04,64.9,64.9,62.0,63.5,96800
FOX,2025-11-05,63.1,64.0,61.9,63.9,97400
FOX,2025-11-06,63.4,63.8,62.5,63.1,74600
FOX,2025-11-07,64.3,64.3,61.0,62.0,160200
FOX,2025-11-10,62.0,62.0,61.0,61.0,48700
FOX,2025-11-11,60.8,61.9,58.0,60.4,166200
FOX,2025-11-12,60.3,65.0,60.1,61.8,84700
FOX,2025-11-13,62.2,62.2,61.1,61.8,15500
FOX,2025-11-14,61.8,61.8,61.0,61.0,41800
