ticker,time,open,high,low,close,volume
SAB,2025-01-02,52.49,52.49,51.83,52.3,359447
SAB,2025-01-03,52.3,52.4,51.74,51.74,367540
SAB,2025-01-06,51.64,52.4,50.42,50.42,942417
SAB,2025-01-07,50.52,50.99,50.52,50.52,403696
SAB,2025-01-08,50.52,50.7,50.42,50.52,496812
SAB,2025-01-09,50.52,50.8,50.33,50.42,411589
SAB,2025-01-10,50.42,50.8,50.42,50.42,475785
SAB,2025-01-13,50.23,51.17,50.14,50.89,462553
SAB,2025-01-14,50.8,51.27,50.8,51.27,329356
SAB,2025-01-15,51.74,51.74,51.17,51.74,331944
SAB,2025-01-16,51.55,52.12,50.61,50.8,572692
SAB,2025-01-17,50.7,51.74,50.04,50.23,638356
SAB,2025-01-20,50.42,50.99,50.42,50.89,200734
SAB,2025-01-21,51.17,51.17,50.33,50.42,258460
SAB,2025-01-22,50.7,50.89,50.42,50.52,201578
SAB,2025-01-23,50.8,50.89,50.42,50.8,235547
SAB,2025-01-24,50.52,50.89,50.52,50.61,303212
SAB,2025-02-03,50.42,50.61,49.48,49.58,599809
SAB,2025-02-04,49.67,49.86,49.29,49.58,438773
SAB,2025-02-05,49.67,49.95,49.58,49.95,270329
SAB,2025-02-06,50.04,50.04,49.58,49.58,353492
SAB,2025-02-07,49.58,49.67,49.2,49.29,768918
SAB,2025-02-10,49.1,49.29,48.92,49.1,645306
SAB,2025-02-11,49.01,49.1,48.45,48.54,748820
SAB,2025-02-12,48.63,48.92,48.63,48.82,90829
SAB,2025-02-13,48.82,48.92,48.63,48.63,275121
SAB,2025-02-14,49.29,49.29,48.45,48.54,669129
SAB,2025-02-17,48.45,48.54,47.98,48.07,1116717
SAB,2025-02-18,48.07,48.45,47.98,48.16,489998
SAB,2025-02-19,48.16,48.35,48.07,48.26,871238
SAB,2025-02-20,48.45,48.54,48.26,48.35,580621
SAB,2025-02-21,48.54,49.1,48.35,48.73,752662
SAB,2025-02-24,48.73,49.29,48.73,49.29,714423
SAB,2025-02-25,50.33,50.33,49.01,49.29,484840
SAB,2025-02-26,49.39,49.39,48.92,49.1,648180
SAB,2025-02-27,49.1,49.2,48.73,49.1,457504
SAB,2025-02-28,48.92,49.2,48.45,48.45,929250
SAB,2025-03-03,48.92,48.92,48.45,48.63,580641
SAB,2025-03-04,48.63,49.01,48.45,48.92,736474
SAB,2025-03-05,48.92,49.01,48.54,48.73,480945
SAB,2025-03-06,48.73,48.82,48.26,48.35,1209978
SAB,2025-03-07,48.82,48.92,48.07,48.16,1426240
SAB,2025-03-10,48.45,48.63,47.98,48.35,1215216
SAB,2025-03-11,48.26,48.35,47.88,48.16,1573015
SAB,2025-03-12,47.98,48.45,47.98,48.07,1576565
SAB,2025-03-13,48.07,48.45,47.98,48.07,1125931
SAB,2025-03-14,48.26,49.29,48.16,48.54,1389247
SAB,2025-03-17,48.92,49.01,48.35,48.54,739736
SAB,2025-03-18,48.54,48.82,48.07,48.07,1621031
SAB,2025-03-19,48.26,48.26,47.79,47.79,2189365
SAB,2025-03-20,47.88,48.07,47.5,47.6,1385485
SAB,2025-03-21,47.79,47.79,47.32,47.32,1205632
SAB,2025-03-24,47.32,47.41,46.94,46.94,1550897
SAB,2025-03-25,47.13,47.22,46.61,46.61,1606302
SAB,2025-03-26,46.61,47.13,46.47,46.61,1264845
SAB,2025-03-27,46.61,46.75,46.52,46.61,988961
SAB,2025-03-28,46.66,46.75,46.28,46.38,1141601
SAB,2025-03-31,46.33,46.47,46.0,46.0,1126907
SAB,2025-04-01,46.14,46.66,45.95,46.42,957252
SAB,2025-04-02,46.47,46.52,46.19,46.38,630634
SAB,2025-04-03,45.44,45.44,43.13,43.13,3158944
SAB,2025-04-04,40.12,42.19,40.12,40.78,3851521
SAB,2025-04-08,40.78,41.91,39.89,40.07,3267737
SAB,2025-04-09,39.04,41.96,39.04,41.48,3153344
SAB,2025-04-10,44.35,44.35,44.31,44.35,598972
SAB,2025-04-11,45.15,46.66,44.35,46.09,4012370
SAB,2025-04-14,46.56,46.8,45.67,46.56,2475086
SAB,2025-04-15,46.14,46.19,44.96,45.81,2332871
SAB,2025-04-16,45.34,45.62,44.54,44.78,1344523
SAB,2025-04-17,44.5,44.68,44.17,44.21,1363877
SAB,2025-04-18,44.59,45.15,44.4,44.54,845618
SAB,2025-04-21,44.5,44.78,44.31,44.31,472772
SAB,2025-04-22,44.21,44.68,42.33,43.84,1205723
SAB,2025-04-23,44.96,45.72,44.59,45.72,1165003
SAB,2025-04-24,46.09,46.42,45.91,46.28,1698282
SAB,2025-04-25,46.28,46.56,46.0,46.56,1951895
SAB,2025-04-28,46.52,48.26,46.33,48.16,1968996
SAB,2025-04-29,47.79,47.79,45.25,45.25,4407144
SAB,2025-05-05,45.06,45.3,44.35,45.06,1251013
SAB,2025-05-06,45.58,45.58,44.92,45.01,790459
SAB,2025-05-07,45.2,45.53,45.15,45.2,767869
SAB,2025-05-08,45.25,45.86,45.25,45.67,859241
SAB,2025-05-09,46.75,46.75,45.95,46.09,940554
SAB,2025-05-12,46.28,46.56,46.09,46.52,1227578
SAB,2025-05-13,46.66,46.66,46.28,46.33,1007145
SAB,2025-05-14,46.19,46.71,46.19,46.56,1129231
SAB,2025-05-15,46.56,47.6,46.56,47.32,1280816
SAB,2025-05-16,47.32,47.69,47.22,47.5,700568
SAB,2025-05-19,47.22,47.22,46.66,46.75,754833
SAB,2025-05-20,46.56,46.94,46.52,46.85,584679
SAB,2025-05-21,46.85,46.99,46.56,46.66,577212
SAB,2025-05-22,46.66,46.75,46.47,46.71,794955
SAB,2025-05-23,46.71,46.75,46.38,46.52,397177
SAB,2025-05-26,46.94,46.94,45.81,46.52,716367
SAB,2025-05-27,46.8,46.8,46.47,46.52,591321
SAB,2025-05-28,46.66,46.75,46.33,46.52,598352
SAB,2025-05-29,46.56,46.85,46.33,46.33,773730
SAB,2025-05-30,46.33,46.38,45.81,45.86,1704102
SAB,2025-06-02,45.86,46.42,45.67,46.24,569970
SAB,2025-06-03,46.28,46.61,46.28,46.56,605168
SAB,2025-06-04,46.66,47.69,46.61,47.13,1485198
SAB,2025-06-05,47.04,47.22,46.56,46.56,994649
SAB,2025-06-06,46.56,46.8,46.14,46.14,755124
SAB,2025-06-09,46.14,46.47,45.95,45.95,924177
SAB,2025-06-10,46.33,46.33,45.91,45.95,844861
SAB,2025-06-11,46.0,46.19,45.95,46.09,347695
SAB,2025-06-12,46.19,46.66,46.19,46.52,631844
SAB,2025-06-13,46.47,46.47,46.0,46.19,963693
SAB,2025-06-16,46.09,46.75,46.09,46.61,977362
SAB,2025-06-17,46.66,47.79,46.61,46.99,1507277
SAB,2025-06-18,46.99,47.13,46.56,46.56,1298112
SAB,2025-06-19,46.75,46.89,46.28,46.52,1025994
SAB,2025-06-20,46.56,46.66,46.38,46.56,717034
SAB,2025-06-23,46.28,46.52,46.19,46.33,1050378
SAB,2025-06-24,46.56,46.71,46.42,46.71,710936
SAB,2025-06-25,46.42,47.5,46.42,47.32,1763863
SAB,2025-06-26,47.69,47.79,47.32,47.5,1285061
SAB,2025-06-27,47.6,47.88,47.32,47.6,3003369
SAB,2025-06-30,47.6,47.75,46.9,47.0,1926448
SAB,2025-07-01,47.0,47.0,46.5,46.55,906758
SAB,2025-07-02,46.5,46.5,46.1,46.4,1100593
SAB,2025-07-03,46.4,46.6,46.25,46.25,1536347
SAB,2025-07-04,46.6,46.6,46.3,46.4,849176
SAB,2025-07-07,46.5,46.65,46.3,46.4,1321381
SAB,2025-07-08,46.45,46.85,46.45,46.85,1640468
SAB,2025-07-09,47.0,47.75,46.9,47.65,2603822
SAB,2025-07-10,47.7,48.35,47.7,48.1,2152137
SAB,2025-07-11,48.1,48.25,47.5,48.15,2445826
SAB,2025-07-14,48.15,48.35,47.65,48.0,1273694
SAB,2025-07-15,48.0,48.9,47.95,48.05,2134900
