ticker,time,open,high,low,close,volume
BSR,2025-01-02,22.8,23.0,22.5,22.7,3332030
BSR,2025-01-03,22.6,22.7,22.1,22.1,5023827
BSR,2025-01-06,22.4,22.8,21.6,21.9,4682451
BSR,2025-01-17,22.5,22.5,21.6,21.6,6048500
BSR,2025-01-20,21.6,21.65,21.0,21.05,3742887
BSR,2025-01-21,21.0,21.0,20.25,20.25,7431009
BSR,2025-01-22,20.1,20.65,20.0,20.55,2779984
BSR,2025-01-23,20.45,20.75,20.4,20.5,1807988
BSR,2025-01-24,20.4,20.45,20.2,20.3,3057842
BSR,2025-02-03,20.2,20.7,20.05,20.7,2032827
BSR,2025-02-04,20.75,20.9,20.7,20.85,2204486
BSR,2025-02-05,20.95,20.95,20.7,20.75,1348977
BSR,2025-02-06,20.75,20.8,20.4,20.5,2053934
BSR,2025-02-07,20.5,20.65,20.3,20.35,2532239
BSR,2025-02-10,20.35,20.6,20.2,20.4,1936963
BSR,2025-02-11,20.4,20.45,20.05,20.2,2866712
BSR,2025-02-12,20.2,20.3,20.1,20.15,1898066
BSR,2025-02-13,20.2,20.2,19.75,19.85,3537625
BSR,2025-02-14,19.9,20.4,19.9,20.1,3059432
BSR,2025-02-17,20.15,20.2,19.95,20.1,2241293
BSR,2025-02-18,20.25,20.25,20.0,20.05,2037844
BSR,2025-02-19,20.1,20.5,20.05,20.4,3248432
BSR,2025-02-20,20.4,20.5,20.25,20.25,1977713
BSR,2025-02-21,20.25,20.3,20.05,20.15,2440037
BSR,2025-02-24,20.05,20.15,20.0,20.15,2103762
BSR,2025-02-25,20.25,20.5,20.15,20.45,3731300
BSR,2025-02-26,20.45,20.5,20.25,20.25,1830973
BSR,2025-02-27,20.2,20.25,20.1,20.25,2231531
BSR,2025-02-28,20.4,20.75,20.35,20.45,5280710
BSR,2025-03-03,20.4,20.65,20.4,20.6,2319966
BSR,2025-03-04,20.6,20.6,20.3,20.35,2517815
BSR,2025-03-05,20.35,20.4,20.05,20.05,3300846
BSR,2025-03-06,20.05,20.15,19.6,19.8,6593842
BSR,2025-03-07,19.8,20.05,19.5,19.9,5031831
BSR,2025-03-10,19.95,20.0,19.7,19.75,2633423
BSR,2025-03-11,19.55,19.6,19.3,19.45,3961081
BSR,2025-03-12,19.55,19.75,19.45,19.6,3054312
BSR,2025-03-13,19.5,19.65,19.3,19.3,2869804
BSR,2025-03-14,19.3,19.3,18.9,18.95,5315741
BSR,2025-03-17,18.9,19.35,18.9,19.3,2543934
BSR,2025-03-18,19.5,20.25,19.4,19.9,6493375
BSR,2025-03-19,20.15,20.15,19.7,19.7,2794631
BSR,2025-03-20,19.7,19.75,19.4,19.6,2609032
BSR,2025-03-21,19.7,19.8,19.5,19.5,1743674
BSR,2025-03-24,19.5,19.5,19.25,19.35,1621859
BSR,2025-03-25,19.45,19.65,19.45,19.45,1210246
BSR,2025-03-26,19.5,19.85,19.5,19.65,2318561
BSR,2025-03-27,19.7,19.75,19.55,19.55,1065011
BSR,2025-03-28,19.5,19.65,19.2,19.2,2375053
BSR,2025-03-31,19.15,19.2,18.9,18.95,1940728
BSR,2025-04-01,19.3,19.6,19.25,19.45,1355786
BSR,2025-04-02,19.45,19.5,19.25,19.35,931606
BSR,2025-04-03,18.45,18.7,18.0,18.0,5265569
BSR,2025-04-04,16.75,17.0,16.75,16.75,9220754
BSR,2025-04-08,15.6,16.0,15.6,15.6,2458498
BSR,2025-04-09,14.55,15.0,14.55,14.55,9401659
BSR,2025-04-10,15.55,15.55,15.55,15.55,774392
BSR,2025-04-11,15.9,16.2,15.05,16.15,7795624
BSR,2025-04-14,16.4,16.8,16.1,16.65,4018078
BSR,2025-04-15,16.3,16.5,15.8,15.95,3763737
BSR,2025-04-16,15.7,15.95,15.6,15.6,3043864
BSR,2025-04-17,15.35,15.75,15.3,15.75,1633522
BSR,2025-04-18,15.9,16.15,15.9,15.95,2227506
BSR,2025-04-21,16.05,16.05,15.7,15.7,1405673
BSR,2025-04-22,15.7,15.7,14.65,15.0,4808476
BSR,2025-04-23,15.65,15.65,15.3,15.4,1323437
BSR,2025-04-24,15.6,15.95,15.55,15.7,2115590
BSR,2025-04-25,15.75,16.35,15.75,16.05,3497186
BSR,2025-04-28,16.1,16.15,15.95,16.15,1455271
BSR,2025-04-29,16.15,16.15,15.9,16.05,1618719
BSR,2025-05-05,15.9,16.1,15.9,16.1,1917888
BSR,2025-05-06,16.15,16.7,16.15,16.5,3388898
BSR,2025-05-07,16.5,17.65,16.5,17.65,6783045
BSR,2025-05-08,18.15,18.3,17.95,17.95,4451710
BSR,2025-05-09,18.0,18.25,17.8,18.0,2779549
BSR,2025-05-12,18.0,18.2,17.9,18.15,2233356
BSR,2025-05-13,18.3,18.35,18.05,18.15,2753507
BSR,2025-05-14,18.2,18.3,18.0,18.15,2464376
BSR,2025-05-15,18.15,18.2,17.65,18.0,3843871
BSR,2025-05-16,18.0,18.0,17.7,17.75,1973712
BSR,2025-05-19,17.65,17.95,17.45,17.45,2203410
BSR,2025-05-20,17.65,17.65,17.4,17.45,1204569
BSR,2025-05-21,17.55,17.55,17.1,17.2,1939475
BSR,2025-05-22,17.2,17.7,16.95,17.35,2683431
BSR,2025-05-23,17.4,17.7,17.2,17.55,1409771
BSR,2025-05-26,17.4,17.7,17.05,17.6,2325775
BSR,2025-05-27,17.65,17.8,17.55,17.65,2105448
BSR,2025-05-28,18.1,18.45,18.0,18.15,5644125
BSR,2025-05-29,18.15,18.25,17.75,17.8,1827650
BSR,2025-05-30,17.75,18.05,17.25,17.3,3289410
BSR,2025-06-02,17.25,17.95,17.15,17.9,2989616
BSR,2025-06-03,18.0,18.15,17.65,17.7,2334753
BSR,2025-06-04,17.8,18.25,17.75,17.95,4251490
BSR,2025-06-05,18.0,18.25,17.8,17.95,2958409
BSR,2025-06-06,18.15,18.3,17.95,17.95,4844093
BSR,2025-06-09,18.0,18.1,17.6,17.6,2083502
BSR,2025-06-10,17.6,17.75,17.4,17.4,2283835
BSR,2025-06-11,17.5,17.55,17.25,17.35,1906442
BSR,2025-06-12,17.75,17.75,17.45,17.55,1841128
BSR,2025-06-13,18.5,18.5,18.15,18.5,11036848
BSR,2025-06-16,19.35,19.55,19.15,19.5,8799135
BSR,2025-06-17,19.4,19.4,18.6,19.0,6325421
BSR,2025-06-18,19.35,19.4,18.9,19.05,4577762
BSR,2025-06-19,19.2,19.2,18.55,18.8,4257857
BSR,2025-06-20,18.9,18.95,18.3,18.4,5143872
